source	balise	occurrence	texte
MTAL_00026_propre_A_C_AV	Appellation Courte	1	l'Anathema
MTAL_00026_propre_A_C_AV	Appellation Courte	1	la Fortune
MTAL_00026_propre_A_C_AV	Appellation Courte	1	le Bacchus
MTAL_00026_propre_A_C_AV	Appellation Courte	1	le Laocoon
MTAL_00026_propre_A_C_AV	Appellation Courte	1	les Thespiades
MTAL_00026_propre_A_C_AV	Appellation Courte	2	un Apollon
MTAL_00026_propre_A_C_AV	Appellation Courte	1	un Apollon colossal
MTAL_00026_propre_A_C_AV	Appellation Courte	2	un Esculape
MTAL_00026_propre_A_C_AV	Appellation Courte	1	un Hercule
MTAL_00026_propre_A_C_AV	Appellation Courte	2	un Jupiter
MTAL_00026_propre_A_C_AV	Appellation Courte	2	une Diane
MTAL_00026_propre_A_C_AV	Appellation Courte	1	une Junon
MTAL_00026_propre_A_C_AV	Appellation Courte	1	une Latone
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	 statues de Muses
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Achille en bronze
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Apollon Dydiméen colossal
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Apollon Isménien en bois de cèdre
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Bacchus d'or et d'ivoire
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Esculape d'or et d'argent
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Esculape d'or et d'ivoire
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Jupiter Olympien
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Jupiter colossal
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Minerve d'Athènes
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Minerve d'or et d'ivoire
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Némésis colossale
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	Torse du Belvédère
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Venus genitrix
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Vénus Uranie en or et en ivoire
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	Vénus accroupie
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	Vénus de Milo
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	base d'une statue d'Esculape
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	base d'une statue de Mercure
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	buste du poète Hipponax
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	centaures en marbre noir
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	cheval de bronze
