physique,love,guerre,statut,autre,sentiment
nu,amour,victorieux,esclave,olympique,triste
imberbe,érotique,haletant,guerrier,assis,furieux
vierge,amoureux,bléssé,religieux,archaïque,comique
jeune,galant,hospitalier,combattant,mystique,souriant
adulte,charmant,sacrificateur,athlète,singulier,malheureux
pudique,enceinte,vaincus,militaire,pentathle,honnête
grand,,mourant,marin,debout,sanguin
enceinte,,courant,héros,ithyphallique,tragique
ravissant,,funéraire,courtisane,pédotribe,boudeux
voilé,,armé,soldat,chouette,endormi
vieux,,captif,gymnique,tibicine,
ailé,,maltraitant,éphèbe,animal,
colossal,,casquer,mystagogue,animalière,
barbu,,triomphe,ouvrier,dansant,
petit,,captif,diadémé,séculaire,
aveugle,,ramant,matrone,rustique,
drapé,,tragique,riche,champêtre,
érotique,,combat,pauvre,double,
obscène,,aurige,national,fantastique,
semi-drapé,,cornupète,Sacro-saint,allégorique,
Géants,,immolant,,cynocéphale,
juvénile,,mort,,remarquable,
ivre,,défaillant,,droit,
pudique,,héroïque,,outrageant,
grotesque,,luttant,,votif,
vètu,,galopant,,,
tauromorphe,,,,,
