action,appartenance,pouvoir,etat,habillement,histoire_art,mouvement,parole,position,sentiment,violence_guerre
tenir,appartenir,diviniser,être,draper,attribuer,arriver,dire,assoir,affliger,mordre
faire,dénommer,couronner,devenir,couronner,consacrer,partir,demander,accroupir,animer,foudroyer
porter,avoir,glorifier,paraître,habiller,dédier,entrer,évoquer,lever,penser,combattre
,,dresser,sembler,,dessiner,monter,raconter,trôner,découvrir,blesser
achever,,idéaliser,demeurer,enlever,élever,descendre,appeler,agenouiller,embrasser,vaincre
allaiter,,,rester,déshabiller,ériger,tomber,écouter,appuyer,surprendre,mourir
appliquer,,,,retirer,exécuter,aller,écrire,coucher,,tomber
assister,,,,vêtir,graver,venir,enseigner,dormir,,chuter
boire,,,,,identifier,naître,prétendre,lier,,jeter
célébrer,,,,,interpréter,mourir,présenter,statufier,,sacrifier
chercher,,,,,peindre,passer,redemander,,,lutter
copier,,,,,personnifier,retourner,,,,enchaîner
distribuer,,,,,publier,tourner,,,,armer
donner,,,,,reconnaître,marcher,,,,traîner
devoir,,,,,refaire,chevaucher,,,,dompter
entraîner,,,,,représenter,courir,,,,griffer
fabriquer,,,,,restaurer,trottiner,,,,lacérer
fleurir,,,,,sculpter,se baisser,,,,déchirer
forger,,,,,commander,couronner,,,,assaillir
imiter,,,,,conserver,danser,,,,brûler
lécher,,,,,décorer,jouer,,,,battre
mettre,,,,,exposer,emporter,,,,casquer
offrir,,,,,figurer,,,,,pleurer
nourir,,,,,laurer,fouler,,,,crier
prendre,,,,,modeler,,,,,violenter
recevoir,,,,,personnifier,amener,,,,exploser
réparer,,,,,,apporter,,,,tuer
,,,,,,naviguer,,,,taper
soutenir,,,,,,baisser,,,,détruire
suspendre,,,,,,,,,,violer
toucher,,,,,,tomber,,,,torturer
travailler,,,,,,relever,,,,assomer
verser,,,,,,attraper,,,,armer
,,,,,,lancer,,,,attacher
servir,,,,,,bouger,,,,attaquer
,,,,,,hocher,,,,aveugler
,,,,,,agiter,,,,barrer
,,,,,,avancer,,,,briser
,,,,,,diriger,,,,couper
,,,,,,,,,,défendre
,,,,,,brandir,,,,désarmer
,,,,,,tourner,,,,écraser
,,,,,,atteindre,,,,égorger
,,,,,,approcher,,,,enfermer
,,,,,,remuer,,,,fulminer
,,,,,,s'allonger,,,,tirer
,,,,,,s'agenouiller,,,,tonner
,,,,,,s'asseoir,,,,torder
,,,,,,s'incliner,,,,traîner
,,,,,,incliner,,,,tuer
,,,,,,se pencher,,,,sacrifier
,,,,,,pencher,,,,sauver
,,,,,,conduire,,,,secourir
,,,,,,sautiller,,,,
,,,,,,gambader,,,,
,,,,,,sauter,,,,
,,,,,,accroupir,,,,
,,,,,,descendre,,,,
,,,,,,s'avancer,,,,
,,,,,,suivre,,,,
,,,,,,continuer,,,,
,,,,,,traverser,,,,
