action,appartenance,pouvoir,etat,habillement,histoire_art,mouvement,parole,position,sentiment,violence_guerre
tenir,appartenir,diviniser,être,draper,attribuer,arriver,dire,assoir,affliger,mordre
faire,dénommer,couronner,devenir,couronner,consacrer,partir,demander,accroupir,animer,foudroyer
porter,,glorifier,paraître,habiller,dédier,entrer,évoquer,lever,penser,combattre
tirer,,dresser,sembler,porter,dessiner,monter,raconter,trôner,découvrir,blesser
achever,,idéaliser,demeurer,enlever,élever,descendre,appeler,agenouiller,embrasser,vaincre
allaiter,,,rester,déshabiller,ériger,tomber,écouter,appuyer,surprendre,mourir
appliquer,,,,retirer,exécuter,aller,écrire,coucher,,tomber
assister,,,,,graver,venir,enseigner,dormir,,chuter
boire,,,,,identifier,naître,prétendre,lier,,jeter
célébrer,,,,,interpréter,mourir,présenter,statufier,,sacrifier
chercher,,,,,peindre,passer,redemander,,,lutter
copier,,,,,personnifier,retourner,,,,enchaîner
distribuer,,,,,publier,tourner,,,,armer
donner,,,,,reconnaître,marcher,,,,traîner
devoir,,,,,refaire,chevaucher,,,,dompter
entraîner,,,,,représenter,courir,,,,griffer
fabriquer,,,,,restaurer,trottiner,,,,lacérer
fleurir,,,,,sculpter,se baisser,,,,déchirer
forger,,,,,commander,couronner,,,,assaillir
imiter,,,,,conserver,danser,,,,brûler
lécher,,,,,décorer,jouer,,,,battre
mettre,,,,,exposer,emporter,,,,casquer
offrir,,,,,figurer,porter,,,,pleurer
nourir,,,,,laurer,fouler,,,,crier
prendre,,,,,modeler,lever,,,,violenter
recevoir,,,,,personnifier,amener,,,,exploser
réparer,,,,,,apporter,,,,tuer
retirer,,,,,,naviguer,,,,taper
soutenir,,,,,,baisser,,,,détruire
suspendre,,,,,,élever,,,,violer
tenir,,,,,,tomber,,,,torturer
toucher,,,,,,relever,,,,assomer
travailler,,,,,,attraper,,,,armer
verser,,,,,,lancer,,,,attacher
venir,,,,,,bouger,,,,attaquer
servir,,,,,,hocher,,,,aveugler
,,,,,,agiter,,,,barrer
,,,,,,avancer,,,,briser
,,,,,,diriger,,,,couper
,,,,,,se diriger,,,,défendre
,,,,,,brandir,,,,désarmer
,,,,,,tourner,,,,écraser
,,,,,,atteindre,,,,égorger
,,,,,,approcher,,,,enfermer
,,,,,,remuer,,,,fulminer
,,,,,,s'allonger,,,,tirer
,,,,,,s'agenouiller,,,,tonner
,,,,,,s'asseoir,,,,torder
,,,,,,s'incliner,,,,traîner
,,,,,,incliner,,,,tuer
,,,,,,se pencher,,,,sacrifier
,,,,,,pencher,,,,sauver
,,,,,,conduire,,,,secourir
,,,,,,sautiller,,,,
,,,,,,gambader,,,,
,,,,,,sauter,,,,
,,,,,,s'accroupir,,,,
,,,,,,descendre,,,,
,,,,,,s'avancer,,,,
,,,,,,suivre,,,,
,,,,,,continuer,,,,
,,,,,,traverser,,,,
,,,,,,entrer,,,,
,,,,,,sortir,,,,
,,,,,,circuler,,,,
,,,,,,franchir,,,,
,,,,,,survoler,,,,
,,,,,,recouvrir,,,,
,,,,,,séparer,,,,
,,,,,,enlever,,,,
,,,,,,revenir,,,,
,,,,,,s'éloigner,,,,
,,,,,,trébucher,,,,
,,,,,,glisser,,,,
,,,,,,chanceler,,,,
,,,,,,tituber,,,,
,,,,,,faufiler,,,,
,,,,,,affaisser,,,,
,,,,,,précipiter,,,,
,,,,,,s'enfuir,,,,
,,,,,,accélérer,,,,
,,,,,,suspendre,,,,
,,,,,,traîner,,,,
,,,,,,enlever,,,,
,,,,,,lancer,,,,
,,,,,,recevoir,,,,
,,,,,,lier,,,,
,,,,,,conduire,,,,
