action,pouvoir_domination,etat,histoire_art,parole
tenir,diviniser,être,attribuer,dire
faire,couronner,devenir,consacrer,demander
porter,glorifier,paraître,dédier,évoquer
découvrir,dresser,sembler,dessiner,raconter
allumer,idéaliser,demeurer,élever,appeler
accueillir,trôner,rester,ériger,écouter
appliquer,servir,appartenir,exécuter,simuler
assister,diriger,avoir,graver,enseigner
boire,incliner,vivre,identifier,prétendre
célébrer,gouverner,naître,interpréter,présenter
chercher,agenouiller,asseoir,peindre,redemander
copier,ordonner,accroupir,personnifier,dénommer
distribuer,exiger,lever,publier,penser
donner,commander,statufier,reconnaître,repenser
devoir,adorer,appuyer,refaire,nommer
entraîner,destiner,coucher,représenter,parler
fabriquer,enrichir,dormir,restaurer,dicter
fleurir,flatter,lier,sculpter,exclamer
forger,vouloir,déposer,commander,déclamer
imiter,pouvoir,entourer,conserver,questionner
lécher,,étendre,décorer,informer
mettre,,placer,exposer,enquérir
offrir,,reposer,figurer,affirmer
nourir,,poser,laurer,déclarer
prendre,,,modeler,répéter
recevoir,,,encadrer,annoncer
réparer,,,,ajouter
surprendre,,,,conseiller
soutenir,,,,recommander
suspendre,,,,préciser
toucher,,,,reprendre
travailler,,,,conclure
verses,,,,dévoiler
assembler,,,,révéler
associer,,,,répondre
bêcher,,,,répliquer
braver,,,,rétorquer
cacher,,,,imaginer
changer,,,,consulter
compter,,,,éclairer
consteller,,,,haranguer
dénaturer,,,,hésiter
disposer,,,,instruire
emprunter,,,,interroger
essuyer,,,,inventer
éviter,,,,qualifier
extraire,,,,surnommer
exercer,,,,usurper
fermer,,,,
initier,,,,
laver,,,,
manger,,,,
picorer,,,,
précéder,,,,
voir,,,,
trouver,,,,
tendre,,,,
soigner,,,,
savoir,,,,
saisir,,,,
retenir,,,,
respirer,,,,
regarder,,,,
épier,,,,
chanter ,,,,
danser,,,,
jouer,,,,
lire,,,,
écrire,,,,
mordre,,,,
foudroyer,,,,
combattre,,,,
blesser,,,,
vaincre,,,,
mourir,,,,
riposter,,,,
chuter,,,,
jeter,,,,
achever,,,,
lutter,,,,
enchaîner,,,,
armer,,,,
traîner,,,,
dompter,,,,
griffer,,,,
lacérer,,,,
déchirer,,,,
assaillir,,,,
brûler,,,,
battre,,,,
casquer,,,,
précipiter,,,,
crier,,,,
violenter,,,,
exploser,,,,
tuer,,,,
taper,,,,
détruire,,,,
violer,,,,
torturer,,,,
assomer,,,,
armer,,,,
attacher,,,,
attaquer,,,,
aveugler,,,,
barrer,,,,
briser,,,,
couper,,,,
défendre,,,,
désarmer,,,,
écraser,,,,
égorger,,,,
enfermer,,,,
fulminer,,,,
tirer,,,,
tonner,,,,
torder,,,,
traîner,,,,
tuer,,,,
attraper,,,,
poursuivre,,,,
accoster,,,,
acharner,,,,
affronter,,,,
arracher,,,,
assommer,,,,
bander,,,,
boîter,,,,
charger,,,,
chasser,,,,
crever,,,,
déjouer,,,,
dévorer,,,,
enlever,,,,
kidnapper,,,,
ensanglanter,,,,
escorter,,,,
étouffer,,,,
étrangler,,,,
frapper,,,,
fuir,,,,
immoler,,,,
livrer,,,,
menacer,,,,
piétiner,,,,
voler,,,,
triompher,,,,
terrasser,,,,
souffrir,,,,
ronger,,,,
rôtir,,,,
dépouiller,,,,
balayer,,,,
arriver,,,,
partir,,,,
entrer,,,,
monter,,,,
descendre,,,,
tomber,,,,
aller,,,,
venir,,,,
renaître,,,,
traverser,,,,
passer,,,,
retourner,,,,
tourner,,,,
marcher,,,,
chevaucher,,,,
courir,,,,
trottiner,,,,
atteindre,,,,
approcher,,,,
accompagner,,,,
atteler,,,,
emporter,,,,
brandir,,,,
fouler,,,,
continuer,,,,
amener,,,,
apporter,,,,
naviguer,,,,
baisser,,,,
suivre,,,,
cheminer,,,,
relever,,,,
éloigner,,,,
lancer,,,,
bouger,,,,
hocher,,,,
agiter,,,,
avancer,,,,
remuer,,,,
pencher,,,,
conduire,,,,
sautiller,,,,
gambader,,,,
sauter,,,,
émerger,,,,
emmener,,,,
envoyer,,,,
filer,,,,
métamorphoser,,,,
transformer,,,,
revenir,,,,
draper,,,,
dévêtir,,,,
habiller,,,,
ceigner,,,,
revêtir,,,,
déshabiller,,,,
retirer,,,,
vêtir,,,,
apprêter,,,,
déguiser,,,,
frotter,,,,
affliger,,,,
sacrifier,,,,
agacer,,,,
disputer,,,,
effrayer,,,,
inquiéter,,,,
pleurer,,,,
supporter,,,,
supplier,,,,
réfugier,,,,
animer,,,,
embrasser,,,,
surmonter,,,,
sauver,,,,
secourir,,,,
allaiter,,,,
accoucher,,,,
admirer,,,,
mirer,,,,
calmer,,,,
caresser,,,,
contempler,,,,
confier,,,,
délivrer,,,,
soulager,,,,
séduire,,,,
marier,,,,
