personnage,occurence,genre
bacchus,215,M
esculape,54,M
hercule,375,M
jupiter,254,M
diane,159,F
junon,37,F
minerve,186,F
venus,977,F
mercure,151,M
cornelius,4,M
ceres,52,F
mars,87,M
fabius,2,M
graces,30,F
auguste,92,M
titus,7,M
concorde,13,F
vulcain,32,M
neptune,33,M
vesta,16,F
cupidon,44,M
saturne,58,M
neron,15,M
hadrien,15,M
brutus,8,M
proserpine,20,F
parques,2,F
seneque,3,M
ciceron,2,M
flore,1,F
aurore,16,F
caligula,3,M
livie,25,F
pluton,10,M
salus,3,F
britannicus,1,M
nan,2,M
