Grec,Fonctions,Parenté,Genre
Achille ,Héros de la Guerre de Troie ,,M
Agamemnon ,Héros de la Guerre de Troie ,,M
Ajax ,Héros de la Guerre de Troie ,,M
Andromède ,Princesse , fille de Céphée et Cassiopée unie à Persée,F
Ariane ,Fille du Roi Minos ,,F
Bellérophon ,Héros tueur de monstres ,,M
Callisto ,Nymphe ,,F
Calypso ,Nymphe de la mer ,,F
Cassandra ,Don de prédire l'avenir ,,F
Daphné ,Nymphe ,,F
Dédale ,Inventeur,,M
Ganymède ,Prince troyen ,,M
Hector ,Héros de la Guerre de Toie ,union avec Andromaque ,M
Hélène ,Reine de Sparte ,union avec Mélénas,F
Héraclès,Héros ,,M
Icare ,Fils de Dédale ,,M
Léda ,Maîtresse de Zeus ,,F
Léto ,Maîtresse de Zeus ,,F
Œdipe ,Roi de Thèbes ,,M
Orion ,Chasseur géant ,,M
Orphée ,Héros ,,M
Pandore ,Première femme ,,F
Persée ,Héros ,,M
Priam ,Héros de la Guerre de Toie ,,M
Thésée ,Héros ,,M
Ulysse ,Héros de la Guerre de Troie ,,M
Adonis,Demi-Dieux,union avec Aphrodite,M
Aeacus ,Demi-dieux juge des enfers,fils de Égine et Zeus,M
Amphiaraos,Héros des 7 de Thèbes Demi-dieu,,M
Amphion,Demi-Dieu,Antiopée et Zeus,M
Arcas,Demi-Dieu roi d’Arcadie,fils de   Callisto et Zeus,M
Aristée,Demi-dieu divinité agraire,fils de Cyrène et Apollon,M
Athis,Demi-dieu guerrier,,M
Attis,Demi-dieu,,M
Bolina,Nymphe,,F
Cadmos,Héros,,M
Chiron,Centaure,fils de Cronos et Phylira,M
Circé,Demi-déesse,,F
Codros,Demi-dieu,,M
Dardanos,Héros créateur du peuple des dardaniens ,,M
Dioscures,Jumeaux divins,fils de Léda et Zeus,M
Endymion,Demi-dieu,,M
Énée,Héros de la guerre de Troie,fils de Aphrodite et Anchise,M
Glaucos,demi-dieu,,M
Andromaque,héroinne,,F
Hémithée,Demi-déesse,,F
Hippolyte,Héroïne,,F
Hygie,Déesse secondaire,,F
Iason,Demi-dieu,,M
Ilithie,demi-déesse des accouchements,,F
Ino,demi-déesse protectrice des marins,,F
Jason,Héros,union avec Médée,M
Médée,Demi-déesse,union avec Jason,F
Ménélas,Héros guerre de troie,,M
Memnon,Héros,Guerre de Troie,M
Minos,Demi-dieu roi de crête,,M
Europe,princesse phénicienne,union avec Zeus,F
Néoptolème,Héros guerre de Troie,,M
Niké,Déesse secondaire,,F
Orithye,Princesse Athénienne,,F
Pâris,Héros guerre de Troie,union avec Hélène,M
Patrocle,Héros guerre de Troie,,M
Pélée,Héros  roi de Phthie,,M
Penthésilée,Héroïne reine des amazones,union avec Achille,F
Philonoé,Héroïne princesse de Lycie,,F
Pryam,Héros de guerre de Troie,,M
Psyché,Demi-Déesse,union avec Eros,F
Sisyphe,demi dieux,,M
Zétès,Demi-dieu,,M
Zéthus,Héros roi de Thèbe,fils d’Antiope et Zeus ,M
