Appellation Complexe:
| Mot                   |   Nombre d'occurrences |
|-----------------------+------------------------|
| statue                |                    100 |
| Cornaline             |                     63 |
| statues               |                     57 |
| R                     |                     40 |
| Apelles               |                     34 |
| à                     |                     31 |
| Agate                 |                     30 |
| dans                  |                     29 |
| Il                    |                     23 |
| Apollon               |                     21 |
| il                    |                     21 |
| le                    |                     20 |
| représente            |                     20 |
| On                    |                     20 |
| Le                    |                     19 |
| Aphrodite             |                     19 |
| Vénus                 |                     18 |
| Jaspe                 |                     18 |
| groupe                |                     18 |
| on                    |                     18 |
| Tête                  |                     17 |
| les                   |                     17 |
| Jupiter               |                     16 |
| tableau               |                     16 |
| Sardonyx              |                     15 |
| sur                   |                     15 |
| vase                  |                     15 |
| un                    |                     14 |
| deux                  |                     13 |
| bas                   |                     13 |
| Les                   |                     13 |
| Kouros                |                     12 |
| tête                  |                     12 |
| coupe                 |                     12 |
| Cylix                 |                     12 |
| Amphore               |                     11 |
| Phidias               |                     11 |
| Int                   |                     11 |
| Sur                   |                     11 |
| y                     |                     10 |
| portrait              |                     10 |
| représentant          |                     10 |
| Minerve               |                     10 |
| type                  |                     10 |
| représentation        |                      9 |
| A                     |                      9 |
| OEnochoé              |                      9 |
| Peliké                |                      9 |
| Athéna                |                      9 |
| Amph                  |                      8 |
| Scène                 |                      8 |
| mosaïque              |                      8 |
| Apelle                |                      8 |
| représenter           |                      8 |
| est                   |                      8 |
| Éros                  |                      8 |
| La                    |                      8 |
| Lysippe               |                      8 |
| base                  |                      8 |
| a                     |                      8 |
| Héraclès              |                      7 |
| peint                 |                      7 |
| Zeuxis                |                      7 |
| De                    |                      7 |
| peindre               |                      7 |
| de                    |                      7 |
| la                    |                      7 |
| Praxitèle             |                      7 |
| frise                 |                      7 |
| Zeus                  |                      7 |
| vases                 |                      7 |
| une                   |                      7 |
| Myron                 |                      6 |
| stèle                 |                      6 |
| Achille               |                      6 |
| temple                |                      6 |
| Onyx                  |                      6 |
| Amour                 |                      6 |
| belle                 |                      6 |
| au                    |                      6 |
| Hercule               |                      6 |
| tableaux              |                      6 |
| Cupidon               |                      6 |
| représentations       |                      6 |
| petit                 |                      5 |
| pierres               |                      5 |
| camée                 |                      5 |
| pour                  |                      5 |
| oeuvre                |                      5 |
| métopes               |                      5 |
| ce                    |                      5 |
| portraits             |                      5 |
| l'Aphrodite           |                      5 |
| statuette             |                      5 |
| Antinoüs              |                      5 |
| Vase                  |                      5 |
| célèbre               |                      5 |
| Ajax                  |                      5 |
| Améthyste             |                      5 |
| en                    |                      5 |
| reconnaître           |                      5 |
| se                    |                      5 |
| Alexandre             |                      4 |
| Hermès                |                      4 |
| Plusieurs             |                      4 |
| scènes                |                      4 |
| HÉRACLÈS              |                      4 |
| peintre               |                      4 |
| Héra                  |                      4 |
| Satyre                |                      4 |
| cratère               |                      4 |
| l'Hercule             |                      4 |
| des                   |                      4 |
| Bacchus               |                      4 |
| peignit               |                      4 |
| II                    |                      4 |
| Sauroctone            |                      4 |
| œuvre                 |                      4 |
| œuvres                |                      4 |
| têtes                 |                      4 |
| korè                  |                      4 |
| Prime                 |                      4 |
| buste                 |                      4 |
| beau                  |                      4 |
| reconnaît             |                      4 |
| figure                |                      4 |
| magnifique            |                      4 |
| représentent          |                      4 |
| Combat                |                      4 |
