Appellation Complexe:
| Mot                   |   Nombre d'occurrences |
|-----------------------+------------------------|
| statue                |                    101 |
| Cornaline             |                     64 |
| statues               |                     57 |
| R                     |                     43 |
| l'                    |                     35 |
| Apelles               |                     34 |
| à                     |                     31 |
| Agate                 |                     30 |
| dans                  |                     29 |
| Tête                  |                     25 |
| Il                    |                     23 |
| il                    |                     21 |
| Apollon               |                     21 |
| représente            |                     20 |
| le                    |                     20 |
| On                    |                     20 |
| Le                    |                     19 |
| Aphrodite             |                     19 |
| Vénus                 |                     18 |
| Jaspe                 |                     18 |
| on                    |                     18 |
| groupe                |                     18 |
| les                   |                     17 |
| tableau               |                     16 |
| Jupiter               |                     16 |
| L'                    |                     15 |
| Sardonyx              |                     15 |
| vase                  |                     15 |
| sur                   |                     15 |
| un                    |                     14 |
| bas                   |                     13 |
| Les                   |                     13 |
| deux                  |                     13 |
| Kouros                |                     12 |
| coupe                 |                     12 |
| Int                   |                     12 |
| tête                  |                     12 |
| Cylix                 |                     12 |
| Phidias               |                     11 |
| Sur                   |                     11 |
| Amphore               |                     11 |
| d'                    |                     10 |
| portrait              |                     10 |
| type                  |                     10 |
| représentant          |                     10 |
| Minerve               |                     10 |
| y                     |                     10 |
| représentation        |                      9 |
| mosaïque              |                      9 |
| Peliké                |                      9 |
| A                     |                      9 |
| Athéna                |                      9 |
| OEnochoé              |                      9 |
| Lysippe               |                      8 |
| Scène                 |                      8 |
| a                     |                      8 |
| Apelle                |                      8 |
| Éros                  |                      8 |
| La                    |                      8 |
| est                   |                      8 |
| Amph                  |                      8 |
| base                  |                      8 |
| représenter           |                      8 |
| Héraclès              |                      7 |
| une                   |                      7 |
| de                    |                      7 |
| la                    |                      7 |
| De                    |                      7 |
| peint                 |                      7 |
| vases                 |                      7 |
| peindre               |                      7 |
| Zeus                  |                      7 |
| Capitoline            |                      7 |
| Zeuxis                |                      7 |
| Praxitèle             |                      7 |
| frise                 |                      7 |
| Rome                  |                      6 |
| belle                 |                      6 |
| Myron                 |                      6 |
| Hercule               |                      6 |
| Achille               |                      6 |
| Onyx                  |                      6 |
| qu'                   |                      6 |
| Amour                 |                      6 |
| temple                |                      6 |
| tableaux              |                      6 |
| Cupidon               |                      6 |
| au                    |                      6 |
| stèle                 |                      6 |
| représentations       |                      6 |
| Antinoüs              |                      5 |
| pour                  |                      5 |
| pierres               |                      5 |
| se                    |                      5 |
| portraits             |                      5 |
| Améthyste             |                      5 |
