Appellation Complexe:
| Mot                   |   Nombre d'occurrences |
|-----------------------+------------------------|
| statue                |                    102 |
| Cornaline             |                     64 |
| statues               |                     58 |
| R                     |                     43 |
| Apelles               |                     34 |
| à                     |                     32 |
| Agate                 |                     30 |
| dans                  |                     29 |
| Tête                  |                     28 |
| Il                    |                     26 |
| Apollon               |                     24 |
| On                    |                     22 |
| représente            |                     21 |
| il                    |                     21 |
| le                    |                     20 |
| Le                    |                     20 |
| on                    |                     20 |
| Aphrodite             |                     19 |
| Vénus                 |                     19 |
| Jaspe                 |                     18 |
| groupe                |                     18 |
| tableau               |                     17 |
| les                   |                     17 |
| Jupiter               |                     16 |
| sur                   |                     15 |
| un                    |                     15 |
| vase                  |                     15 |
| Sardonyx              |                     15 |
| Les                   |                     14 |
| deux                  |                     14 |
| bas                   |                     13 |
| Cylix                 |                     12 |
| Int                   |                     12 |
| tête                  |                     12 |
| Kouros                |                     12 |
| coupe                 |                     12 |
| Sur                   |                     12 |
| Amphore               |                     11 |
| Phidias               |                     11 |
| La                    |                     11 |
| type                  |                     10 |
| Athéna                |                     10 |
| portrait              |                     10 |
| représentation        |                     10 |
| y                     |                     10 |
| Minerve               |                     10 |
| représentant          |                     10 |
| mosaïque              |                      9 |
| Peliké                |                      9 |
| A                     |                      9 |
| OEnochoé              |                      9 |
| Éros                  |                      8 |
| base                  |                      8 |
| Apelle                |                      8 |
| Lysippe               |                      8 |
| est                   |                      8 |
| représenter           |                      8 |
| a                     |                      8 |
| Scène                 |                      8 |
| Amph                  |                      8 |
| peindre               |                      7 |
| une                   |                      7 |
| De                    |                      7 |
| Rome                  |                      7 |
| Praxitèle             |                      7 |
| Zeus                  |                      7 |
| Capitoline            |                      7 |
| vases                 |                      7 |
| frise                 |                      7 |
| au                    |                      7 |
| Héraclès              |                      7 |
| peint                 |                      7 |
| Hercule               |                      7 |
| Zeuxis                |                      7 |
| de                    |                      7 |
| la                    |                      7 |
| Amour                 |                      6 |
| Vase                  |                      6 |
| belle                 |                      6 |
| représentations       |                      6 |
| Onyx                  |                      6 |
| Achille               |                      6 |
| temple                |                      6 |
| Cupidon               |                      6 |
| portraits             |                      6 |
| Myron                 |                      6 |
| se                    |                      6 |
| stèle                 |                      6 |
| tableaux              |                      6 |
| ce                    |                      5 |
| pour                  |                      5 |
| Améthyste             |                      5 |
| pierres               |                      5 |
| camée                 |                      5 |
| en                    |                      5 |
| HÉRACLÈS              |                      5 |
| métopes               |                      5 |
| l'Aphrodite           |                      5 |
| Alexandre             |                      5 |
| statuette             |                      5 |
| l'Hercule             |                      5 |
| reconnaître           |                      5 |
| Statue                |                      5 |
| petit                 |                      5 |
| oeuvre                |                      5 |
| célèbre               |                      5 |
| Ajax                  |                      5 |
| Antinoüs              |                      5 |
| korè                  |                      5 |
| nom                   |                      4 |
| beau                  |                      4 |
